accuracy,precision,recall,f1,auc_macro,auc_micro,fold,checkpoint_iter,model_name
0.5,0.5778,0.5167,0.5403,0.7185,0.7628,1,3000,Heavy Frozen
0.5385,0.5333,0.6,0.5175,0.7694,0.7929,2,10000,Heavy Frozen
0.4286,0.4111,0.4167,0.4104,0.6759,0.6658,3,2000,Heavy Frozen
0.6154,0.6167,0.6667000000000001,0.6339,0.7361,0.7663,4,10000,Heavy Frozen
0.5385,0.5333,0.5333,0.5278,0.7731,0.7722,5,3000,Heavy Frozen
0.5714,0.4815,0.6,0.5238,0.7481,0.824,1,10000,First Two Frozen
0.5385,0.375,0.5556,0.44689999999999996,0.7694,0.8077,2,4500,First Two Frozen
0.5714,0.5778,0.5667,0.5572,0.713,0.6939,3,500,First Two Frozen
0.6923,0.7333,0.7333,0.7333,0.7306,0.7574,4,4500,First Two Frozen
0.5385,0.5238,0.5167,0.5079,0.8269,0.8254,5,8000,First Two Frozen
0.6429,0.6667000000000001,0.6667000000000001,0.6336999999999999,0.7778,0.8469,1,8500,First Layer Frozen
0.46149999999999997,0.3333,0.5333,0.40399999999999997,0.7861,0.7811,2,2500,First Layer Frozen
0.5,0.5,0.4833,0.4644,0.7139,0.6837,3,4500,First Layer Frozen
0.6154,0.7222,0.6222,0.6385000000000001,0.775,0.7899,4,500,First Layer Frozen
0.6154,0.6222,0.6,0.6053000000000001,0.8093,0.7751,5,8500,First Layer Frozen
0.6429,0.6667000000000001,0.6667000000000001,0.6336999999999999,0.7926,0.7883,1,500,Early Frozen
0.5385,0.39049999999999996,0.6,0.4722,0.7361,0.784,2,5500,Early Frozen
0.5714,0.5889,0.5832999999999999,0.5667,0.675,0.6837,3,1500,Early Frozen
0.46149999999999997,0.4722,0.5333,0.46299999999999997,0.75,0.7456,4,10000,Early Frozen
0.46149999999999997,0.4722,0.45,0.4556,0.7722,0.7722,5,6000,Early Frozen
0.5,0.4583,0.5333,0.48719999999999997,0.763,0.801,1,1000,All Trainable
0.5385,0.5238,0.5556,0.5278,0.7361,0.787,2,6000,All Trainable
0.6429,0.6444,0.6333,0.6329,0.675,0.676,3,2000,All Trainable
0.6154,0.6389,0.6222,0.6263000000000001,0.7667,0.7988,4,500,All Trainable
0.6923,0.6556000000000001,0.6833,0.6444,0.7102,0.7692,5,5000,All Trainable
0.6429,0.6667000000000001,0.6667000000000001,0.6336999999999999,0.7111,0.7806,1,500,All Frozen
0.46149999999999997,0.3667,0.5333,0.4318,0.7083,0.7722,2,9000,All Frozen
0.5,0.5095000000000001,0.5167,0.4771,0.6759,0.6735,3,8000,All Frozen
0.6154,0.75,0.5778,0.594,0.6389,0.716,4,3500,All Frozen
0.3077,0.381,0.3,0.3225,0.6889,0.7219,5,7500,All Frozen
