model_name,fold,checkpoint_iter,accuracy,precision,recall,f1,auc_macro,auc_micro,note
SwinGait (UF),1,1500,0.4545,0.3095,0.4167,0.34850000000000003,0.7302,0.686,Best checkpoint
SwinGait (UF),2,500,0.6364,0.6389,0.6389,0.6389,0.7163,0.7562,Best checkpoint
SwinGait (UF),3,2000,0.4545,0.3651,0.5,0.39049999999999996,0.5933,0.624,Best checkpoint
SwinGait (UF),4,500,0.5455,0.5556,0.5556,0.5476,0.7282,0.7231,Best checkpoint
SwinGait (UF),5,9000,0.3636,0.2833,0.4167,0.3333,0.4683,0.4917,Best checkpoint
p+CNN,1,1500,0.5714,0.6111,0.5832999999999999,0.5742,0.7556,0.8265,Best checkpoint
p+CNN,2,500,0.6154,0.4083,0.6667000000000001,0.5064,0.7361,0.8107,Best checkpoint
p+CNN,3,5000,0.4286,0.42219999999999996,0.4167,0.4165,0.6296,0.6327,Best checkpoint
p+CNN,4,500,0.6154,0.7222,0.5778,0.5909,0.875,0.8314,Best checkpoint
p+CNN,5,8000,0.6923,0.6833,0.6833,0.6833,0.7824,0.7959,Best checkpoint
p+CNN+Tintro,1,1500,0.4545,0.3095,0.4167,0.34850000000000003,0.7063,0.6694,Best checkpoint
p+CNN+Tintro,2,500,0.3636,0.4833,0.3611,0.39149999999999996,0.6528,0.7025,Best checkpoint
p+CNN+Tintro,3,2000,0.4545,0.3651,0.5,0.39049999999999996,0.5456,0.6405,Best checkpoint
p+CNN+Tintro,4,500,0.5455,0.5556,0.5832999999999999,0.5238,0.6329,0.6983,Best checkpoint
p+CNN+Tintro,5,8000,0.3636,0.3889,0.3611,0.3556,0.5972,0.595,Best checkpoint
T1,1,1000,0.6364,0.746,0.6111,0.5996,0.6905,0.7107,Best checkpoint
T1,2,1000,0.4545,0.5556,0.44439999999999996,0.4667,0.6786,0.6901,Best checkpoint
T1,3,7000,0.4545,0.3889,0.5,0.4127,0.744,0.7562,Best checkpoint
T1,4,7000,0.5455,0.5333,0.5556,0.5238,0.7321,0.7397,Best checkpoint
T1,5,9500,0.2727,0.3056,0.3056,0.3056,0.5913,0.6033,Best checkpoint
T2,1,9500,0.4545,0.3095,0.4167,0.34850000000000003,0.5893,0.6157,Best checkpoint
T2,2,8500,0.2727,0.125,0.25,0.16670000000000001,0.5536,0.562,Best checkpoint
T2,3,1500,0.3636,0.2262,0.3333,0.2652,0.7222,0.6281,Best checkpoint
T2,4,6500,0.3636,0.2361,0.3333,0.2619,0.7579,0.6777,Best checkpoint
T2,5,4000,0.2727,0.1778,0.25,0.20739999999999997,0.6905,0.6074,Best checkpoint
